time,latitude,longitude,depth,horz_uncert_km,vert_uncert_km,mag,event_id
2016-11-04 06:48:24.680,54.347328,-117.239845,3.201,0,0,--,1
2016-11-25 05:14:08.940,54.346657,-117.245972,3.177,0,0,--,2
2016-11-28 05:16:44.670,54.341534,-117.248398,3.173,0,0,--,3
