2T	EF58	-98.723	        28.8365
2T	EF59	-98.4191	28.9501
2T	EF61	-97.9834	29.1253
2T	EF62	-97.685	        29.3651
2T	EF63	-97.4637	29.5756
2T	EF64	-97.3128	29.7397
2T	EF65	-96.9805	29.6716
2T	EF66	-97.1239	29.351
2T	EF67	-97.3682	29.1298
2T	EF68	-97.9839	28.7685
2T	EF69	-98.2802	28.6338
2T	EF71	-98.0439	28.6281
2T	EF72	-97.59197	28.86009
2T	EF73	-97.8966	28.9826
2T	EF74	-98.4242	28.4376
2T	EF75	-97.832	        28.6933
2T	EF76	-98.1947	28.5203
4T	NM01	-103.39849	32.35514
4T	NM02	-103.879	32.2641
4T	NM03	-103.63428	32.472544
AG	WLAR	-93.112	        33.688
OK	ELIS	-99.418045	36.065254
OK	FNO	-97.401154	35.257381
OK	LOOK	-97.179993	33.992428
OK	W35A	-96.874527	35.15274
OK	X34A	-97.832558	34.601021
OK	X37A	-95.3713	34.589199
N4	441B	-93.189796	30.7498
N4	545B	-90.489403	30.0441
N4	735B	-97.808197	28.855301
N4	ABTX	-99.643097	32.623798
N4	MSTX	-102.7724	33.969601
N4	WHTX	-97.4561	31.991301
N4	Z35B	-97.252998	33.330898
N4	Z38B	-94.985199	33.259899
IM	TX01	-103.6677	29.334
IM	TX02	-103.658	29.3299
IM	TX03	-103.6743	29.3314
IM	TX04	-103.6673	29.3399
IM	TX06	-103.682	29.319
IM	TX07	-103.689	29.3404
IM	TX08	-103.6769	29.3509
IM	TX09	-103.6602	29.3437
IM	TX10	-103.7035	29.3305
IM	TX31	-103.6677	29.3343
IM	TX32	-103.6677	29.334
4O	LWM1	-103.63	        31.2312
4O	LWM2	-103.5847	31.2699
4O	PR01	-103.270332	31.2365
ZW	IFS3	-96.9211	32.8312
ZW	ILCC	-96.9472	32.861
ZW	IPD1	-96.9333	32.889
ZW	IPD1V	-96.9334	32.8888
ZW	ITL1	-96.899	        32.8489
ZW	ITSC	-96.8498	32.8903
4F	V2600	-97.0995	32.5095
4F	VALP	-97.1425	32.5202
4F	VBB1	-97.2331	32.452
4F	VMCM	-97.0809	32.4579
4F	VNLC	-97.2036	32.5759
4F	VSAB	-97.2303	32.4963
4F	VVFD	-97.1031	32.4325
NQ	AZEP	-97.535378	32.963421
NQ	AZNH	-97.590424	32.989052
NQ	BRRD	-97.537849	32.99485
NQ	UDKH	-96.916786	32.846939
NQ	VAVE	-97.144112	32.519421
NQ	VTAX	-97.143913	32.51968
GM	NMP01	-103.86048	32.20476
GM	NMP02	-103.86139	32.08945
TX	OG04	-102.35986	31.92935
TX	MB09	-101.82	        32.3391
4F	VPCC	-97.155098	32.462002
4O	DB04	-103.1054	31.0664
4O	DB03	-103.078	31.1162
4O	DB02	-103.1096	31.1858
DB	MID02	-102.1669	32.1297
DB	UB01	-103.2117	31.1133
TX	MB10	-101.792	32.2651
TX	INDO	-100.298344	28.467247
TX	PB34	-104.037778	31.676667
4O	WB01	-104.060278	31.721667
TX	MB11	-101.972645	32.146839
2T	EF77	-97.97107	28.24334
4T	FMR1	-98.5675	26.602778
4T	FMR2	-98.58452	26.57328
4T	FMR3	-98.5413535	26.5808215
4T	FMR4	-98.5649445	26.5790753
4O	OP01	-101.36427	32.43232
GM	NMP11	-103.93155	32.00668
GM	NMP12	-103.95259	32.12755
GM	NMP31	-103.73465	32.03585
GM	NMP44	-103.61883	32.20474
4O	MID02	-102.1669	32.1297
4O	SA02	-104.2649	31.67163
4O	SA04	-104.25458	31.75593
4O	SA06	-104.14971	31.75696
4O	MBBB1	-101.891072	32.246247
4O	CT01	-104.144532	31.90285
4O	CT02	-104.122493	31.95689
4T	EL01	-95.136906	29.613102
4T	EL02	-95.166403	29.590574
