20161122114139.900	54.349817	-117.227441	3.325	194	49	175	13387	0.39
20161123231319.140	54.349854	-117.227091	3.322	193	49	174	15272	0.56
20161123025708.220	54.350098	-117.225814	3.323	192	60	178	14530	-0.33
20161123181714.390	54.350187	-117.227246	3.327	198	48	174	15173	0.58
20161124125328.730	54.348991	-117.226318	3.32	195	60	180	15765	-1.07
20161123060348.460	54.350085	-117.225798	3.322	194	58	176	14686	-0.4
20161124162142.450	54.350281	-117.227083	3.319	199	52	-178	15847	-0.47
20161121232043.560	54.351847	-117.225513	3.323	193	64	178	11388	0.02
20161122004402.580	54.351786	-117.225464	3.322	192	62	-172	11498	-0.36
20161122095728.400	54.349231	-117.227629	3.322	198	49	-178	13090	0.99
20161122104310.510	54.349792	-117.22736	3.32	193	49	175	13213	0.27
20161123123120.370	54.350146	-117.225781	3.32	197	59	-179	15020	0.18
20161124014800.630	54.349605	-117.226896	3.299	194	47	177	15361	-0.69
20161122133428.290	54.350138	-117.227368	3.327	194	48	174	13759	-0.47
20161123114346.080	54.349353	-117.227271	3.309	198	54	-174	14974	-0.72
20161126082201.500	54.35024	-117.227091	3.326	199	52	-179	17927	-0.34
20161123214708.450	54.35037	-117.226969	3.313	199	47	179	15239	-0.7
20161122181824.940	54.349809	-117.227303	3.335	193	45	177	14112	1.67
20161123051220.950	54.350077	-117.225846	3.316	193	52	177	14643	-0.55
20161122093547.170	54.350028	-117.227205	3.317	192	44	172	13018	-0.13
20161122054155.950	54.351835	-117.225496	3.324	194	59	-177	12219	0.31
20161123130253.500	54.349849	-117.226986	3.329	196	50	178	15040	0.01
20161123163923.420	54.349854	-117.225911	3.327	194	54	179	15131	-0.07
20161124042345.080	54.349609	-117.226937	3.301	195	48	176	15461	-0.12
20161122094208.150	54.349296	-117.227572	3.32	196	53	-178	13043	1.05
20161124062316.960	54.349426	-117.227547	3.324	196	49	-180	15541	-0.37
20161123141029.470	54.349707	-117.225895	3.32	197	58	176	15067	-0.86
20161124025344.800	54.349589	-117.226978	3.3	195	48	176	15399	-0.22
20161123142729.700	54.349691	-117.226921	3.31	196	50	174	15077	-0.09
20161123022854.240	54.349495	-117.227116	3.307	196	51	179	14498	-0.52
20161124105451.940	54.349764	-117.226994	3.301	194	48	-179	15701	-0.37
20161124164201.440	54.349093	-117.226237	3.32	194	55	176	15856	-0.77
20161124024204.670	54.350313	-117.227018	3.316	198	56	-178	15395	-0.4
20161123194545.770	54.349662	-117.227002	3.322	198	48	-179	15203	0.09
20161122085320.650	54.35009	-117.227197	3.323	195	48	173	12899	-0.44
20161123140610.900	54.349235	-117.227596	3.32	198	48	-180	15062	-0.46
