Event_ID,Station_ID,SNR
20161104064824.680,1112,1.850107192993164
20161104064824.680,1186,4.674511909484863
20161104064824.680,1155,1.8036606311798096
20161104064824.680,1174,1.6537569761276245
20161104064824.680,1176,7.024294376373291
20161104064824.680,1166,4.6864800453186035
20161104064824.680,1130,3.18042254447937
20161104064824.680,1159,2.3638134002685547
20161104064824.680,1157,1.9197765588760376
20161104064824.680,1178,3.4918642044067383
20161104064824.680,1143,4.452791213989258
20161104064824.680,1121,3.148648262023926
20161104064824.680,1108,4.750616550445557
20161104064824.680,1150,1.9745874404907227
20161104064824.680,1126,2.6676318645477295
20161104064824.680,1131,5.888434886932373
20161104064824.680,1165,1.1996313333511353
20161104064824.680,1147,1.8381353616714478
20161104064824.680,1140,3.935407876968384
20161104064824.680,1139,1.9156862497329712
20161104064824.680,1136,3.957336187362671
20161104064824.680,1129,1.493585228919983
20161104064824.680,1146,2.201688289642334
20161104064824.680,1125,2.7843165397644043
20161104064824.680,1160,3.738651990890503
20161104064824.680,1190,1.9234702587127686
20161104064824.680,1151,2.8189077377319336
20161104064824.680,1215,1.2596741914749146
20161104064824.680,1188,1.3111481666564941
20161104064824.680,1180,3.2150449752807617
20161104064824.680,1107,4.519002437591553
20161104064824.680,1182,2.573486089706421
20161104064824.680,1114,3.9159796237945557
20161104064824.680,1111,3.9058454036712646
20161104064824.680,1113,0.0
20161104064824.680,1119,1.7535287141799927
20161104064824.680,1164,2.0438430309295654
20161104064824.680,1128,1.3753514289855957
20161104064824.680,1179,3.001782178878784
20161104064824.680,1209,3.571469306945801
20161104064824.680,1122,3.6226978302001953
20161104064824.680,1148,2.081953763961792
20161104064824.680,1167,4.430164337158203
20161104064824.680,1171,4.359070777893066
20161104064824.680,1210,4.30534029006958
20161104064824.680,1118,2.595384120941162
20161104064824.680,1149,1.8668010234832764
20161104064824.680,1132,1.893524169921875
20161104064824.680,1133,1.0680418014526367
20161104064824.680,1120,1.4547909498214722
20161104064824.680,1152,2.707993268966675
20161104064824.680,1141,1.9161827564239502
20161104064824.680,1142,1.3864942789077759
20161104064824.680,1123,2.0104029178619385
20161104064824.680,1138,1.4658522605895996
20161104064824.680,1158,2.211627960205078
20161104064824.680,1153,4.83535623550415
20161104064824.680,1116,0.7454639673233032
20161104064824.680,1109,3.8836593627929688
20161104064824.680,1194,4.3132548332214355
20161104064824.680,1135,4.925981044769287
20161104064824.680,1192,6.611184120178223
20161104064824.680,1168,3.365389347076416
20161104064824.680,1193,5.927976608276367
20161104064824.680,1127,1.3148844242095947
20161104064824.680,1161,4.793222904205322
20161104064824.680,1175,3.877912759780884
20161104064824.680,1187,2.0286285877227783
20161104064824.680,1177,8.851426124572754
20161128051644.670,1112,7.3940205574035645
20161128051644.670,1186,3.471701145172119
20161128051644.670,1155,7.180992126464844
20161128051644.670,1174,27.049333572387695
20161128051644.670,1176,0.0
20161128051644.670,1166,20.704923629760742
20161128051644.670,1130,11.582389831542969
20161128051644.670,1159,9.574909210205078
20161128051644.670,1157,5.364324569702148
20161128051644.670,1178,5.6518635749816895
20161128051644.670,1143,8.311827659606934
