20161128051644.670	54.3415	-117.2484	3.1730	6	78	168	-1	-0.7
20161107115039.940	54.3380	-117.2488	3.2220	184	86	-179	-1	-0.38
20161129102551.690	54.3404	-117.2485	3.1530	205	85	166	-1	-1.01
20161123044220.380	54.3415	-117.2484	3.1730	184	82	-173	-1	-0.3
20161127102437.130	54.3433	-117.2481	3.1870	180	87	177	-1	-0.82
20161127034927.230	54.3439	-117.2482	3.2010	185	85	175	-1	-0.99
20161114111346.250	54.3348	-117.2490	3.2170	182	87	180	-1	-0.66
20161111124536.380	54.3370	-117.2488	3.2340	5	88	176	-1	1.08
20161128090459.320	54.3413	-117.2485	3.1480	182	80	178	-1	-1.08
20161127092224.260	54.3433	-117.2482	3.1870	181	82	175	-1	-0.51
20161107171307.500	54.3380	-117.2488	3.2170	183	86	173	-1	-0.52
20161128092254.210	54.3412	-117.2485	3.1510	5	89	172	-1	-0.76
20161128031620.620	54.3412	-117.2487	3.2240	186	88	-176	-1	-1.14
20161129013555.880	54.3408	-117.2486	3.2050	181	78	176	-1	0.49
20161129114709.390	54.3415	-117.2484	3.1730	189	85	173	-1	-0.75
20161112171011.380	54.3338	-117.2490	3.2290	181	87	-178	-1	0.09
20161129102941.520	54.3398	-117.2489	3.1740	31	86	-179	-1	-0.53
20161110053845.810	54.3355	-117.2489	3.2220	183	84	180	-1	-0.38
20161129104353.960	54.3319	-117.2495	3.1700	30	79	178	-1	-0.63
20161129144916.640	54.3329	-117.2491	3.1530	177	36	110	-1	-0.61
20161109201859.370	54.3355	-117.2490	3.2340	184	88	180	-1	-0.62
20161111031632.510	54.3351	-117.2489	3.2120	1	88	175	-1	0.67
20161111155755.860	54.3360	-117.2489	3.2460	180	84	177	-1	-0.52
20161107160909.680	54.3379	-117.2486	3.2030	183	87	-180	-1	0.53
20161107205908.750	54.3376	-117.2487	3.2070	184	89	-178	-1	0.53
20161108002154.710	54.3376	-117.2487	3.2070	3	89	-180	-1	-0.33
20161128072607.350	54.3415	-117.2484	3.1730	0	88	-180	-1	-0.41
20161129170131.660	54.3405	-117.2483	3.1390	205	89	176	-1	-0.84
20161107103340.130	54.3380	-117.2488	3.2220	180	84	169	-1	-0.85
20161128153527.260	54.3412	-117.2485	3.1520	2	89	173	-1	1.6
20161123154254.750	54.3415	-117.2484	3.1730	183	87	-179	-1	-0.7
20161129190845.020	54.3427	-117.2483	3.1680	1	82	178	-1	-0.46
20161107124958.130	54.3380	-117.2488	3.2220	183	88	-180	-1	0.71
20161108085355.700	54.3376	-117.2487	3.2070	183	88	-179	-1	0.93
20161129030748.920	54.3407	-117.2486	3.2140	183	79	178	-1	-0.4
20161130012047.970	54.3363	-117.2487	3.1190	209	75	174	-1	-0.79
20161128121443.000	54.3408	-117.2486	3.2070	180	80	176	-1	-0.61
20161107110551.520	54.3380	-117.2488	3.2220	182	85	178	-1	0.06
20161129123135.970	54.3318	-117.2493	3.1130	23	85	176	-1	0.14
20161129011127.610	54.3408	-117.2486	3.2070	182	85	178	-1	-1.12
20161112030952.200	54.3361	-117.2490	3.2340	3	84	176	-1	-0.25
20161125045326.360	54.3446	-117.2480	3.1940	7	88	175	-1	0.02
20161125044906.440	54.3446	-117.2480	3.1950	186	75	176	-1	-1.08
20161129032300.710	54.3427	-117.2483	3.1690	180	90	173	-1	-0.52
20161128052953.110	54.3415	-117.2484	3.1730	179	82	-178	-1	-0.44
20161129102733.050	54.3401	-117.2486	3.1420	23	87	-171	-1	-0.79
20161129111141.780	54.3408	-117.2479	3.1290	212	77	163	-1	-1.0
20161128033928.220	54.3415	-117.2485	3.0720	6	78	165	-1	-0.68
20161128054017.010	54.3416	-117.2484	3.1500	3	74	168	-1	-0.59
20161128041512.410	54.3415	-117.2484	3.1730	8	81	166	-1	-0.45
20161107104520.870	54.3380	-117.2488	3.2220	184	88	178	-1	-0.02
20161129123406.000	54.3401	-117.2487	3.1150	9	49	154	-1	-0.88
20161129162829.840	54.3415	-117.2484	3.1730	186	88	180	-1	0.15
20161130071708.410	54.3329	-117.2491	3.1550	201	75	170	-1	-0.92
20161110093430.320	54.3355	-117.2489	3.2270	5	89	173	-1	0.12
20161107153555.680	54.3387	-117.2486	3.2020	3	88	-180	-1	-0.98
20161127045935.180	54.3438	-117.2482	3.1980	182	89	178	-1	-0.7
20161129103139.470	54.3361	-117.2484	3.0940	207	90	172	-1	-0.96
20161108001330.880	54.3376	-117.2486	3.2070	180	86	179	-1	-0.6
20161129040204.260	54.3412	-117.2484	3.1470	2	86	171	-1	0.13
20161129104654.440	54.3329	-117.2491	3.1510	189	47	116	-1	0.06
20161125064558.120	54.3457	-117.2478	3.1750	135	87	173	-1	-1.09
20161129053736.290	54.3415	-117.2484	3.1730	179	86	-179	-1	-0.72
20161109173627.220	54.3355	-117.2490	3.2340	182	90	-176	-1	-0.12
20161111062544.280	54.3380	-117.2488	3.2220	3	89	178	-1	-0.67
20161128104519.250	54.3408	-117.2486	3.2070	180	86	179	-1	-0.82
20161129131739.680	54.3427	-117.2483	3.1680	187	90	-178	-1	-1.13
20161107112627.300	54.3380	-117.2488	3.2190	183	86	180	-1	0.08
20161129093416.060	54.3412	-117.2484	3.1670	180	88	176	-1	-0.88
20161129103209.200	54.3329	-117.2491	3.1690	216	76	178	-1	-0.71
20161123190445.590	54.3415	-117.2484	3.1730	3	83	169	-1	0.45
20161129052001.840	54.3415	-117.2484	3.1730	182	76	176	-1	-1.01
20161114225250.540	54.3363	-117.2487	3.2350	3	83	173	-1	0.77
20161107104845.290	54.3380	-117.2488	3.2230	180	85	172	-1	-0.63
20161114025544.750	54.3383	-117.2487	3.1860	2	89	179	-1	-0.36
20161109022317.780	54.3372	-117.2490	3.2490	181	86	171	-1	-0.85
20161127165957.730	54.3429	-117.2481	3.1480	359	84	-178	-1	-0.4
20161110025453.810	54.3355	-117.2489	3.2220	184	81	168	-1	-0.72
20161125044737.300	54.3447	-117.2479	3.1870	7	90	178	-1	-0.98
20161110100429.010	54.3352	-117.2489	3.1940	181	84	174	-1	-0.99
20161109153837.340	54.3383	-117.2489	3.2440	182	87	177	-1	-0.79
20161128062416.430	54.3415	-117.2484	3.1730	186	84	176	-1	-0.39
20161130045805.030	54.3363	-117.2487	3.1330	207	90	171	-1	-1.08
20161109225452.820	54.3355	-117.2489	3.2220	5	87	174	-1	0.3
