epoch,acc,loss,lr,val_acc,val_loss
0,0.8947665095329285,0.2433956116437912,0.001,0.9396857619285583,0.1464010775089264
1,0.9343135356903076,0.16296018660068512,0.001,0.9452610015869141,0.13454537093639374
2,0.936735987663269,0.1514274626970291,0.001,0.9406994581222534,0.13916954398155212
3,0.9416370987892151,0.13978491723537445,0.001,0.9427267909049988,0.12971307337284088
4,0.94422847032547,0.13462987542152405,0.001,0.946781575679779,0.12234636396169662
5,0.9458058476448059,0.1318400353193283,0.001,0.946781575679779,0.1300322413444519
6,0.9485662579536438,0.12489177286624908,0.001,0.9477952122688293,0.1259630173444748
7,0.9491296410560608,0.1238798052072525,0.001,0.9483020901679993,0.12907041609287262
8,0.9522280693054199,0.11769299954175949,0.001,0.9493157863616943,0.12839163839817047
9,0.9521153569221497,0.11574063450098038,0.001,0.9533705115318298,0.1268991380929947
10,0.9530730843544006,0.11446528881788254,0.001,0.9493157863616943,0.12765099108219147
11,0.9573544859886169,0.1093607246875763,0.001,0.9483020901679993,0.13128331303596497
12,0.9558898210525513,0.10466553270816803,0.001,0.9498226046562195,0.13598909974098206
13,0.9580305218696594,0.10350701212882996,0.001,0.9462746977806091,0.14131520688533783
14,0.9618613123893738,0.0977138951420784,0.001,0.946781575679779,0.14566849172115326
15,0.961410641670227,0.09736375510692596,0.001,0.9477952122688293,0.136088564991951
16,0.9640583395957947,0.0899139866232872,0.001,0.9452610015869141,0.14442887902259827
17,0.9639456868171692,0.08868573606014252,0.001,0.9472883939743042,0.13503775000572205
18,0.9659737348556519,0.08549874275922775,0.001,0.9488089084625244,0.14714710414409637
19,0.967494785785675,0.08179999142885208,0.001,0.9412062764167786,0.16597844660282135
20,0.9674384593963623,0.07948577404022217,0.001,0.9417131543159485,0.1564231514930725
21,0.9709312319755554,0.07437714189291,0.001,0.9437404870986938,0.15967325866222382
22,0.9711002111434937,0.07430432736873627,0.001,0.9437404870986938,0.16713498532772064
23,0.97414231300354,0.0682796761393547,0.001,0.9472883939743042,0.16698196530342102
24,0.9748746752738953,0.06573951244354248,0.001,0.946781575679779,0.1778334230184555
25,0.975156307220459,0.06547033041715622,0.001,0.9447541832923889,0.15898177027702332
26,0.9754379987716675,0.06111622601747513,0.001,0.9427267909049988,0.17757660150527954
27,0.9762266874313354,0.05898134037852287,0.001,0.945767879486084,0.16783803701400757
28,0.9790434241294861,0.054900310933589935,0.001,0.9442473649978638,0.1902313083410263
29,0.9790434241294861,0.05480077117681503,0.001,0.9412062764167786,0.18711058795452118
30,0.9808461666107178,0.05057206749916077,0.001,0.945767879486084,0.1945585161447525
31,0.9814658164978027,0.04914597421884537,0.001,0.9432336688041687,0.18456804752349854
32,0.9824235439300537,0.04730061814188957,0.001,0.945767879486084,0.19989736378192902
33,0.982367217540741,0.045869793742895126,0.001,0.945767879486084,0.21095693111419678
34,0.9834938645362854,0.04170079156756401,0.001,0.9472883939743042,0.2127046138048172
35,0.9845079183578491,0.04098091647028923,0.001,0.9376583695411682,0.24248063564300537
36,0.9825361967086792,0.0417514331638813,0.001,0.9396857619285583,0.23334145545959473
37,0.9856346249580383,0.037388019263744354,0.001,0.9391789436340332,0.2510879933834076
38,0.9833812117576599,0.043288130313158035,0.001,0.9447541832923889,0.20634162425994873
39,0.9860289692878723,0.035393569618463516,0.001,0.9452610015869141,0.22776679694652557
40,0.9861979484558105,0.036416731774806976,0.001,0.9371515512466431,0.24520142376422882
41,0.988057017326355,0.03115834668278694,0.001,0.9432336688041687,0.24582915008068085
42,0.9879443645477295,0.029672693461179733,0.001,0.9472883939743042,0.2304515838623047
43,0.9881133437156677,0.03051171638071537,0.001,0.945767879486084,0.24148239195346832
44,0.9893527030944824,0.027641085907816887,0.001,0.9437404870986938,0.2609707713127136
45,0.9903104305267334,0.025169678032398224,0.001,0.9432336688041687,0.2501954138278961
46,0.9904794096946716,0.025223158299922943,0.001,0.9452610015869141,0.26347339153289795
47,0.9905357360839844,0.025507720187306404,0.001,0.9412062764167786,0.2758634686470032
48,0.9900850653648376,0.02596094459295273,0.001,0.9437404870986938,0.27974390983581543
49,0.9903104305267334,0.02500642091035843,0.001,0.9422199726104736,0.27336883544921875
